batch_type,motivation,towers,trial_start,stim_on,choice,key,trial_end,acc,rt,score
unstable,stand,stim_set/hard-78.png,209.77851587499754,211.1362362910004,stand,left,214.15234912499727,correct,1.3640215839986922,
unstable,stand,stim_set/hard-441.png,214.19279362499947,217.15481845799513,fall,right,220.1755283329985,correct,2.972942125001282,
unstable,stand,stim_set/easy-318.png,220.220467207997,221.96952616599447,fall,right,224.98612624999805,correct,1.7546057500003371,
unstable,stand,stim_set/hard-286.png,225.03320566599723,226.71125991599547,stand,left,229.72718399999576,correct,1.6835002079969854,
unstable,stand,stim_set/easy-542.png,229.7761257079983,231.73795674999565,fall,right,234.75873145800142,correct,1.9721944999982952,
unstable,stand,stim_set/hard-vcom=4-147.png,234.80549770799553,237.33812487500109,stand,left,240.3591229579979,correct,2.5429114580038004,
unstable,stand,stim_set/hard-vcom=3-142.png,240.40556095799548,243.18770791599673,fall,right,246.2088107909949,incorrect,2.7931072089995723,
unstable,stand,stim_set/hard-600.png,246.24493666600029,247.81953466599953,stand,left,250.83526875000098,correct,1.5796681249994435,
unstable,stand,stim_set/easy-304.png,250.87990824999724,255.5380367079997,fall,right,258.55942429100105,incorrect,4.668969083002594,
unstable,stand,stim_set/hard-555.png,258.60196241599624,260.5277774579954,stand,left,263.54447729099775,correct,1.9321661249996396,
unstable,stand,stim_set/hard-vcom=2-95.png,263.58074737499555,266.4626267909989,fall,right,269.4839919160004,incorrect,2.8928137089969823,
unstable,stand,stim_set/hard-vcom=4-88.png,269.52532479100046,271.6779411249954,stand,left,274.6947965829968,correct,2.158835958005511,
unstable,stand,stim_set/hard-vcom=3-142.png,289.9174631249989,292.794540457995,fall,right,295.81053745799727,incorrect,2.882568207998702,
unstable,stand,stim_set/hard-14.png,295.8469021659985,298.61938883299445,fall,right,301.635550291001,correct,2.778684292003163,
unstable,stand,stim_set/hard-vcom=4-147.png,301.6820881659951,303.57150895799714,stand,left,306.59208241599845,correct,1.9002309999996214,
unstable,stand,stim_set/easy-vcom=2-73.png,306.63337529099954,308.34585624999454,fall,right,311.368020832997,correct,1.7239499999996042,
unstable,stand,stim_set/hard-vcom=1-92.png,311.41461933299433,312.7195767909943,fall,right,315.73579512500146,correct,1.3107558749979944,
unstable,stand,stim_set/easy-318.png,315.7803951659953,316.9945336249948,fall,right,320.01092866600084,correct,1.2202977499982808,
unstable,stand,stim_set/easy-28.png,320.0553914159973,321.12798537499475,fall,right,324.14420429099846,correct,1.0781077919964446,
unstable,stand,stim_set/easy-542.png,324.18997362499795,325.3029641249959,fall,right,328.3185347079998,correct,1.1183939580005244,
unstable,stand,stim_set/easy-411.png,328.3652828330014,329.3946624999953,fall,right,332.41047158299625,correct,1.035051625003689,
unstable,stand,stim_set/hard-vcom=2-95.png,332.4466730829954,334.57949883299443,stand,left,337.60098166600073,correct,2.1440480000019306,
unstable,stand,stim_set/easy-304.png,337.64495554099994,338.9194898749993,fall,right,341.9361564999999,incorrect,1.2807365830012714,
unstable,stand,stim_set/hard-555.png,341.97853983299865,343.1029720000006,stand,left,346.1188628329983,correct,1.1302215410032659,
unstable,stand,stim_set/hard-vcom=4-88.png,346.160273290996,350.1463067500008,fall,right,353.1675350000005,incorrect,3.9969312499961234,
unstable,stand,stim_set/easy-586.png,353.21198024999467,354.22087495799497,fall,right,357.2428216249973,correct,1.019935374999477,
unstable,stand,stim_set/hard-78.png,357.28749774999596,360.04433725000126,stand,left,363.06112491599924,correct,2.762892416001705,
unstable,stand,stim_set/hard-vcom=4-27.png,363.1082229579988,365.34605208299763,fall,right,368.36721874999785,correct,2.248984666002798,
unstable,stand,stim_set/easy-164.png,368.41392241599533,369.4711755409953,fall,right,372.4928361249986,correct,1.0681058750051307,
unstable,stand,stim_set/easy-vcom=1-12.png,372.538664832995,373.74602358300035,stand,left,376.76743287499994,correct,1.218245250005566,
unstable,stand,stim_set/hard-600.png,376.80365404099575,377.93797204099974,stand,left,380.95931137500156,correct,1.1452512079995358,
unstable,stand,stim_set/hard-vcom=4-22.png,381.00604441599717,382.43609674999607,stand,left,385.45289333300025,correct,1.4362206250007148,
unstable,stand,stim_set/hard-vcom=4-139.png,385.4948692909966,388.6196962909962,fall,right,391.6357490829978,incorrect,3.130551916001423,
unstable,stand,stim_set/hard-286.png,391.6829375829984,393.38628400000016,fall,right,396.4023830410006,incorrect,1.7087896249940968,
unstable,stand,stim_set/hard-280.png,396.44866795800044,397.86261374999594,fall,right,400.8845000000001,incorrect,1.4252089169967803,
unstable,stand,stim_set/hard-440.png,400.9274315829971,402.3632771249977,fall,right,405.38375337499747,correct,1.4461112920034793,
unstable,stand,stim_set/hard-441.png,405.4243548749946,407.1627719159951,fall,right,410.1838017909977,correct,1.7492959589944803,
