batch_type,motivation,towers,trial_start,stim_on,choice,acc,rt,key,trial_end,score
unstable,NA,stim_set/hard-vcom=1-5.png,247.4280894580006,248.94562666700222,fall,incorrect,1.5217785830027424,right,251.96166958299,
unstable,NA,stim_set/hard-556.png,252.0025794999965,253.71369941701414,stand,correct,1.7228611249884125,left,256.7352918749966,
unstable,NA,stim_set/hard-439.png,256.77763287498965,259.20385333299055,fall,correct,2.431350458995439,right,262.2197212500032,
unstable,NA,stim_set/easy-121.png,262.26690399998915,264.7955825419922,fall,incorrect,2.533806999999797,right,267.8111681250157,
unstable,NA,stim_set/hard-345.png,267.85530516700237,268.87880166701507,fall,correct,1.0291394160012715,right,271.89525375000085,
unstable,NA,stim_set/easy-vcom=1-145.png,271.9394770830113,273.28706429200247,stand,correct,1.3536708750179969,left,276.3033166670066,
unstable,NA,stim_set/hard-388.png,276.3395346670004,279.00529262499185,stand,correct,2.677163416024996,left,282.0271585829905,
unstable,NA,stim_set/easy-vcom=4-19.png,282.07324179200805,283.65380100000766,fall,correct,1.5861164999951143,right,286.6693209169898,
unstable,NA,stim_set/hard-vcom=2-144.png,286.7055714169983,288.18870212501497,stand,incorrect,1.4943606250162702,left,291.21001450001495,
unstable,NA,stim_set/hard-2.png,291.25476974999765,293.2288029170013,stand,correct,1.980182916013291,left,296.2454143750074,
unstable,NA,stim_set/hard-590.png,296.2906615830143,297.40579079199233,fall,correct,1.1261033329938073,right,300.42747349999263,
unstable,NA,stim_set/hard-21.png,300.46884495799895,301.5788168750005,stand,correct,1.115951457992196,left,304.5951277500135,
unstable,NA,stim_set/hard-82.png,304.6398842500057,305.93723920799675,fall,incorrect,1.3031511660083197,right,308.95353583298856,
unstable,NA,stim_set/easy-13.png,309.0001521249942,310.61228062500595,stand,incorrect,1.6178992500063032,left,313.62876054199296,
unstable,NA,stim_set/easy-77.png,313.67105699999956,314.6705242920143,fall,correct,1.0054461249965243,right,317.68715766700916,
unstable,NA,stim_set/easy-vcom=4-4.png,317.7293868330016,318.8538539579895,fall,correct,1.1303607079898939,right,321.8699732919922,
unstable,NA,stim_set/hard-vcom=3-100.png,321.9118516249873,323.31225970800733,stand,incorrect,1.406222583987983,left,326.328260957991,
unstable,NA,stim_set/hard-371.png,326.3644140000106,327.49699616699945,fall,incorrect,1.1439098750124685,right,330.5185545000131,
unstable,NA,stim_set/easy-vcom=3-136.png,330.5588665830146,331.7622694580059,fall,incorrect,1.2098109170037787,right,334.77872025000397,
unstable,NA,stim_set/hard-432.png,334.82503800000995,335.93916416700813,fall,correct,1.1251075000036508,right,338.96024333301466,
unstable,NA,stim_set/hard-vcom=2-20.png,339.0058767920127,340.2371007500042,stand,correct,1.2374915000109468,left,343.2538310830132,
unstable,NA,stim_set/hard-442.png,343.30025416699937,344.82885204200284,fall,incorrect,1.5347239159746096,right,347.8454680000141,
unstable,NA,stim_set/hard-552.png,347.8902112499927,349.18722612501006,stand,correct,1.303123042016523,left,352.2037587079976,
unstable,NA,stim_set/hard-271.png,352.24897158300155,353.9285914170032,fall,incorrect,1.6856648749962915,right,356.9447009169962,
